"id";"table_id";"filename";"cropped_filename";"table_name";"type";"is_cover";"created_at";"updated_at"
"156";"63";"1588766972888_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-05-06 10:12:31";"2020-05-06 10:12:39"
"158";"64";"1589372684275_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-05-13 10:27:45";"2020-05-13 10:27:49"
"159";"65";"1589445537338_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-05-14 06:41:59";"2020-05-14 06:42:04"
"160";"66";"1589805715867_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-05-18 10:41:56";"2020-05-18 10:42:00"
"161";"67";"1589969706866_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-05-20 08:18:14";"2020-05-20 08:18:17"
"162";"68";"1589970509024_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-05-20 08:31:35";"2020-05-20 08:31:39"
"163";"69";"1590589085668_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-05-27 12:21:16";"2020-05-27 12:21:21"
"164";"70";"1590595272969_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-05-27 14:04:23";"2020-05-27 14:04:27"
"165";"70";"1590595291687_dsc0514.jpg";NULL;"NEWS";"IMAGE";"0";"2020-05-27 14:04:48";"2020-05-27 14:04:48"
"166";"70";"1590595322113_dsc0510.jpg";NULL;"NEWS";"IMAGE";"0";"2020-05-27 14:05:20";"2020-05-27 14:05:20"
"167";"71";"1590842878526_altracop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-05-30 10:51:11";"2020-05-30 10:51:28"
"168";"71";"1590843243256_abita_la terravivi con fede web.jpg";NULL;"NEWS";"IMAGE";"0";"2020-05-30 10:57:26";"2020-05-30 10:57:26"
"169";"71";"1590843265016_abita_la terravivi con fede web.jpg";NULL;"NEWS";"FILE";"0";"2020-05-30 10:58:03";"2020-05-30 10:58:03"
"170";"71";"1590847194365_zamagniferraresi.jpg";NULL;"NEWS";"IMAGE";"0";"2020-05-30 12:03:10";"2020-05-30 12:03:10"
"171";"72";"1591183791092_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-06-03 09:29:51";"2020-06-03 09:29:54"
"172";"73";"1591729366968_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-06-09 17:06:06";"2020-06-09 17:06:09"
"173";"74";"1591788152851_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-06-10 09:25:51";"2020-06-10 09:25:56"
"174";"75";"1592383778796_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-06-17 06:49:38";"2020-06-17 06:49:42"
"175";"76";"1592994277536_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-06-24 08:24:37";"2020-06-24 08:24:41"
"176";"77";"1592995377489_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-06-24 08:42:58";"2020-06-24 08:43:01"
"181";"77";"1593006904242_dsc0023.jpeg";NULL;"NEWS";"IMAGE";"0";"2020-06-24 11:58:36";"2020-06-24 11:58:36"
"182";"77";"1593006917277_dsc0076.jpeg";NULL;"NEWS";"IMAGE";"0";"2020-06-24 11:58:51";"2020-06-24 11:58:51"
"183";"77";"1593006933595_dsc0027.jpeg";NULL;"NEWS";"IMAGE";"0";"2020-06-24 11:59:08";"2020-06-24 11:59:08"
"184";"78";"1593368547082_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-06-28 16:25:56";"2020-06-28 16:26:00"
"185";"79";"1594316314015_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-07-09 15:42:18";"2020-08-27 05:00:54"
"186";"80";"1597047094655_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-08-10 06:11:34";"2020-08-10 06:11:38"
"187";"81";"1597252004976_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-08-12 15:10:37";"2020-08-12 15:10:41"
"188";"81";"1597252032394_volantino_jpg.jpg";NULL;"NEWS";"FILE";"0";"2020-08-12 15:11:33";"2020-08-12 15:11:33"
"189";"82";"1597256692594_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-08-12 16:28:45";"2020-08-12 16:29:18"
